file	mll
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.376541
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521415
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.662750
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.365818
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__03_BGG3.mll.out	-8.516193
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.680547
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.376541
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521414
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.662749
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.365818
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__03_BGG3.mll.out	-8.516192
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.680547
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.376541
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521412
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.662748
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.365776
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__03_BGG3.mll.out	-8.516186
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.680545
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.376498
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521368
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.662708
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.364338
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__03_BGG3.mll.out	-8.517194
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.678222
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.375251
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521652
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.660929
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.364330
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__03_BGG3.mll.out	-8.517177
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.678198
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.375242
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521623
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.660922
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__02_BGG2.mll.out	-8.364296
