file	mll
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.680547
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.669354
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.683774
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.669354
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.683774
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.669354
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.683774
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.669343
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.683766
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.667166
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.681500
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.667140
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.681480
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.667098
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.681444
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.666875
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.681244
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.676155
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.665217
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.679357
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.676116
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.665175
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.679315
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.676061
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.665120
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.679256
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.675764
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.664738
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.678871
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.667434
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.657020
