[prod_bias=0.1 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p01_primed_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16674e+07	10.5062
2	1	21361	1.15575e+07	10.4073
3	1	17940	1.14801e+07	10.3376
4	1	16219	1.14565e+07	10.3164
5	1	15222	1.14604e+07	10.3198
6	1	14465	1.14639e+07	10.323
7	1	13878	1.14634e+07	10.3226
8	1	13356	1.14611e+07	10.3205
9	1	12920	1.14576e+07	10.3174
10	1	12584	1.1453e+07	10.3132
11	1	12336	1.14466e+07	10.3074
12	1	12141	1.14374e+07	10.2991
13	1	11956	1.14248e+07	10.2878
14	1	11802	1.14095e+07	10.274
15	1	11665	1.13931e+07	10.2593
16	1	11526	1.13777e+07	10.2454
17	1	11357	1.13641e+07	10.2331
18	1	11215	1.13523e+07	10.2225
19	1	11073	1.1342e+07	10.2132
20	1	10961	1.13324e+07	10.2046
21	1	10842	1.13228e+07	10.196
22	1	10725	1.1313e+07	10.1872
23	1	10612	1.13032e+07	10.1783
24	1	10520	1.12938e+07	10.1698
25	1	10436	1.1285e+07	10.1619
26	1	10350	1.12773e+07	10.155
27	1	10256	1.12709e+07	10.1492
28	1	10165	1.12656e+07	10.1445
29	1	10068	1.12615e+07	10.1408
30	1	9991	1.12584e+07	10.138
31	1	9930	1.12561e+07	10.1359
32	1	9877	1.12544e+07	10.1343
33	1	9826	1.12531e+07	10.1332
34	1	9786	1.12521e+07	10.1323
35	1	9747	1.12514e+07	10.1316
36	1	9718	1.12508e+07	10.1311
37	1	9685	1.12502e+07	10.1306
38	1	9659	1.12498e+07	10.1302
39	1	9637	1.12494e+07	10.1298
40	1	9621	1.1249e+07	10.1295
41	1	9603	1.12487e+07	10.1292
42	1	9588	1.12484e+07	10.1289
43	1	9570	1.12481e+07	10.1286
44	1	9554	1.12477e+07	10.1284
45	1	9542	1.12474e+07	10.1281
46	1	9533	1.12471e+07	10.1278
47	1	9528	1.12469e+07	10.1276
48	1	9515	1.12466e+07	10.1273
49	1	9505	1.12463e+07	10.1271
50	1	9500	1.12461e+07	10.1269
51	1	9493	1.12458e+07	10.1266
52	1	9489	1.12456e+07	10.1264
53	1	9486	1.12454e+07	10.1262
54	1	9479	1.12451e+07	10.126
55	1	9471	1.12449e+07	10.1258
56	1	9465	1.12446e+07	10.1255
57	1	9461	1.12444e+07	10.1253
58	1	9456	1.12441e+07	10.1251
59	1	9450	1.12439e+07	10.1249
60	1	9446	1.12437e+07	10.1247
61	1	9439	1.12434e+07	10.1245
62	1	9437	1.12432e+07	10.1243
63	1	9437	1.1243e+07	10.1241
# run 0, entropy 10.1241, 9437 rules
