[prod_bias=0.1 lex_bias=0.1] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p1_primed_20251219_1911/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.15655e+07	10.4145
2	1	25341	1.14856e+07	10.3426
3	1	25341	1.14242e+07	10.2872
4	1	25341	1.1403e+07	10.2682
5	1	25341	1.14061e+07	10.2709
6	1	25341	1.14087e+07	10.2733
7	1	25341	1.1407e+07	10.2718
8	1	25341	1.14016e+07	10.2669
9	1	25341	1.13929e+07	10.2591
10	1	25341	1.13818e+07	10.2491
11	1	25341	1.13685e+07	10.2371
12	1	25341	1.13532e+07	10.2233
13	1	25341	1.13364e+07	10.2082
14	1	25341	1.13189e+07	10.1924
15	1	25341	1.13016e+07	10.1769
16	1	25341	1.12854e+07	10.1623
17	1	25341	1.12703e+07	10.1486
18	1	25341	1.12558e+07	10.1356
19	1	25341	1.12419e+07	10.1231
20	1	25341	1.1229e+07	10.1115
21	1	25341	1.1218e+07	10.1015
22	1	25341	1.12089e+07	10.0934
23	1	25341	1.12017e+07	10.0869
24	1	25341	1.1196e+07	10.0817
25	1	25341	1.11914e+07	10.0776
26	1	25341	1.11878e+07	10.0744
27	1	25341	1.11848e+07	10.0717
28	1	25341	1.11824e+07	10.0695
29	1	25341	1.11804e+07	10.0677
30	1	25341	1.11787e+07	10.0662
31	1	25341	1.11774e+07	10.065
32	1	25341	1.11763e+07	10.0641
33	1	25341	1.11755e+07	10.0633
34	1	25341	1.11747e+07	10.0626
35	1	25341	1.1174e+07	10.062
36	1	25341	1.11734e+07	10.0614
37	1	25341	1.11729e+07	10.061
38	1	25341	1.11724e+07	10.0605
39	1	25341	1.1172e+07	10.0601
40	1	25341	1.11716e+07	10.0598
41	1	25341	1.11712e+07	10.0594
42	1	25341	1.11708e+07	10.0591
43	1	25341	1.11705e+07	10.0588
44	1	25341	1.11701e+07	10.0585
45	1	25341	1.11698e+07	10.0581
46	1	25341	1.11694e+07	10.0578
47	1	25341	1.11691e+07	10.0575
48	1	25341	1.11688e+07	10.0573
49	1	25341	1.11685e+07	10.057
50	1	25341	1.11681e+07	10.0567
# run 0, entropy 10.0567, 25341 rules
