[prod_bias=0.5 lex_bias=0.05] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p5_lb0p05_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16247e+07	10.4678
2	1	25341	1.15358e+07	10.3877
3	1	25341	1.14663e+07	10.3251
4	1	25341	1.14444e+07	10.3054
5	1	25341	1.14493e+07	10.3098
6	1	25341	1.14534e+07	10.3136
7	1	25341	1.14528e+07	10.313
8	1	25341	1.1448e+07	10.3087
9	1	25341	1.14384e+07	10.3
10	1	25341	1.1423e+07	10.2862
11	1	25341	1.14034e+07	10.2685
12	1	25341	1.1383e+07	10.2501
13	1	25341	1.13654e+07	10.2343
14	1	25341	1.13526e+07	10.2228
15	1	25341	1.13446e+07	10.2156
16	1	25341	1.13401e+07	10.2115
17	1	25341	1.13377e+07	10.2093
18	1	25341	1.13363e+07	10.2081
19	1	25341	1.13354e+07	10.2073
20	1	25341	1.13348e+07	10.2068
21	1	25341	1.13343e+07	10.2063
22	1	25341	1.1334e+07	10.206
23	1	25341	1.13336e+07	10.2057
24	1	25341	1.13328e+07	10.2049
25	1	25341	1.13314e+07	10.2037
26	1	25341	1.133e+07	10.2024
27	1	25341	1.13294e+07	10.2019
28	1	25341	1.13284e+07	10.201
29	1	25341	1.13276e+07	10.2003
30	1	25341	1.13271e+07	10.1998
31	1	25341	1.13264e+07	10.1992
32	1	25341	1.13258e+07	10.1987
33	1	25341	1.13252e+07	10.1981
34	1	25341	1.13247e+07	10.1976
35	1	25341	1.13241e+07	10.1971
36	1	25341	1.13236e+07	10.1967
37	1	25341	1.13231e+07	10.1962
38	1	25341	1.13226e+07	10.1958
39	1	25341	1.13221e+07	10.1953
40	1	25341	1.13216e+07	10.1949
41	1	25341	1.13211e+07	10.1944
42	1	25341	1.13207e+07	10.194
43	1	25341	1.13202e+07	10.1936
44	1	25341	1.13196e+07	10.193
45	1	25341	1.13189e+07	10.1925
46	1	25341	1.13181e+07	10.1918
47	1	25341	1.13171e+07	10.1908
48	1	25341	1.13157e+07	10.1896
49	1	25341	1.13137e+07	10.1878
50	1	25341	1.13109e+07	10.1852
# run 0, entropy 10.1852, 25341 rules
