[prod_bias=0.01 lex_bias=0.05] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p01_lb0p05_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16247e+07	10.4678
2	1	25341	1.15358e+07	10.3877
3	1	25341	1.14663e+07	10.3251
4	1	25341	1.14444e+07	10.3054
5	1	25341	1.14493e+07	10.3098
6	1	25341	1.14534e+07	10.3136
7	1	25341	1.14528e+07	10.313
8	1	25341	1.1448e+07	10.3087
9	1	25341	1.14384e+07	10.3
10	1	25341	1.1423e+07	10.2862
11	1	25341	1.14033e+07	10.2685
12	1	25341	1.1383e+07	10.2501
13	1	25341	1.13654e+07	10.2343
14	1	25341	1.13526e+07	10.2228
15	1	25341	1.13446e+07	10.2156
16	1	25341	1.13401e+07	10.2115
17	1	25341	1.13377e+07	10.2093
18	1	25341	1.13363e+07	10.2081
19	1	25341	1.13354e+07	10.2073
20	1	25341	1.13348e+07	10.2068
21	1	25341	1.13344e+07	10.2064
22	1	25341	1.13341e+07	10.2061
23	1	25341	1.13338e+07	10.2059
24	1	25341	1.13336e+07	10.2057
25	1	25341	1.13334e+07	10.2055
26	1	25341	1.13332e+07	10.2053
27	1	25341	1.13328e+07	10.205
28	1	25341	1.13323e+07	10.2045
29	1	25341	1.13314e+07	10.2037
30	1	25341	1.13302e+07	10.2026
31	1	25341	1.13289e+07	10.2014
32	1	25341	1.13278e+07	10.2004
33	1	25341	1.13268e+07	10.1995
34	1	25341	1.1326e+07	10.1988
35	1	25341	1.13254e+07	10.1983
36	1	25341	1.13248e+07	10.1977
37	1	25341	1.13243e+07	10.1973
38	1	25341	1.13238e+07	10.1968
39	1	25341	1.13233e+07	10.1964
40	1	25341	1.13228e+07	10.196
41	1	25341	1.13223e+07	10.1955
42	1	25341	1.13218e+07	10.195
43	1	25341	1.13211e+07	10.1945
44	1	25341	1.13204e+07	10.1938
45	1	25341	1.13196e+07	10.1931
46	1	25341	1.13187e+07	10.1922
47	1	25341	1.13175e+07	10.1912
48	1	25341	1.1316e+07	10.1899
49	1	25341	1.13141e+07	10.1881
50	1	25341	1.13114e+07	10.1857
# run 0, entropy 10.1857, 25341 rules
