[prod_bias=0.1 lex_bias=0.1] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p1_primed_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.1594e+07	10.4402
2	1	25341	1.15122e+07	10.3664
3	1	25341	1.14499e+07	10.3104
4	1	25341	1.143e+07	10.2925
5	1	25341	1.1435e+07	10.297
6	1	25341	1.14385e+07	10.3001
7	1	25341	1.14363e+07	10.2981
8	1	25341	1.14284e+07	10.291
9	1	25341	1.14141e+07	10.2782
10	1	25341	1.13933e+07	10.2595
11	1	25341	1.13691e+07	10.2376
12	1	25341	1.13459e+07	10.2167
13	1	25341	1.13269e+07	10.1997
14	1	25341	1.13136e+07	10.1877
15	1	25341	1.13055e+07	10.1803
16	1	25341	1.13004e+07	10.1757
17	1	25341	1.12967e+07	10.1724
18	1	25341	1.12935e+07	10.1696
19	1	25341	1.12905e+07	10.1669
20	1	25341	1.12876e+07	10.1642
21	1	25341	1.12842e+07	10.1612
22	1	25341	1.12804e+07	10.1578
23	1	25341	1.12756e+07	10.1534
24	1	25341	1.12694e+07	10.1478
25	1	25341	1.12616e+07	10.1408
26	1	25341	1.12522e+07	10.1323
27	1	25341	1.12414e+07	10.1226
28	1	25341	1.12302e+07	10.1125
29	1	25341	1.12194e+07	10.1028
30	1	25341	1.12097e+07	10.0941
31	1	25341	1.12015e+07	10.0867
32	1	25341	1.1195e+07	10.0808
33	1	25341	1.11899e+07	10.0763
34	1	25341	1.11858e+07	10.0726
35	1	25341	1.11826e+07	10.0697
36	1	25341	1.11801e+07	10.0674
37	1	25341	1.1178e+07	10.0656
38	1	25341	1.11765e+07	10.0642
39	1	25341	1.11752e+07	10.063
40	1	25341	1.1174e+07	10.062
41	1	25341	1.11729e+07	10.0609
42	1	25341	1.11718e+07	10.06
43	1	25341	1.11708e+07	10.059
44	1	25341	1.11698e+07	10.0582
45	1	25341	1.11687e+07	10.0572
46	1	25341	1.11679e+07	10.0565
47	1	25341	1.11672e+07	10.0558
48	1	25341	1.11666e+07	10.0553
49	1	25341	1.1166e+07	10.0548
50	1	25341	1.11655e+07	10.0543
# run 0, entropy 10.0543, 25341 rules
