[prod_bias=0.1 lex_bias=0.1] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p1_primed_20251220_0901/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.15552e+07	10.4052
2	1	25341	1.1475e+07	10.333
3	1	25341	1.14134e+07	10.2775
4	1	25341	1.13924e+07	10.2586
5	1	25341	1.13951e+07	10.2611
6	1	25341	1.13973e+07	10.2631
7	1	25341	1.13952e+07	10.2611
8	1	25341	1.13893e+07	10.2558
9	1	25341	1.138e+07	10.2475
10	1	25341	1.13681e+07	10.2368
11	1	25341	1.13541e+07	10.2241
12	1	25341	1.13384e+07	10.21
13	1	25341	1.13217e+07	10.1949
14	1	25341	1.13049e+07	10.1798
15	1	25341	1.12888e+07	10.1653
16	1	25341	1.12739e+07	10.152
17	1	25341	1.12604e+07	10.1397
18	1	25341	1.12478e+07	10.1284
19	1	25341	1.12361e+07	10.1179
20	1	25341	1.12254e+07	10.1083
21	1	25341	1.12161e+07	10.0998
22	1	25341	1.12081e+07	10.0927
23	1	25341	1.12015e+07	10.0867
24	1	25341	1.11957e+07	10.0815
25	1	25341	1.11903e+07	10.0766
26	1	25341	1.11859e+07	10.0727
27	1	25341	1.11825e+07	10.0696
28	1	25341	1.11798e+07	10.0672
29	1	25341	1.11777e+07	10.0653
30	1	25341	1.1176e+07	10.0638
31	1	25341	1.11747e+07	10.0626
32	1	25341	1.11736e+07	10.0616
33	1	25341	1.11728e+07	10.0608
34	1	25341	1.1172e+07	10.0602
35	1	25341	1.11714e+07	10.0596
36	1	25341	1.11709e+07	10.0591
37	1	25341	1.11704e+07	10.0587
38	1	25341	1.11699e+07	10.0583
39	1	25341	1.11695e+07	10.0579
40	1	25341	1.11692e+07	10.0576
41	1	25341	1.11688e+07	10.0573
42	1	25341	1.11684e+07	10.0569
43	1	25341	1.11681e+07	10.0566
44	1	25341	1.11677e+07	10.0563
45	1	25341	1.11674e+07	10.056
46	1	25341	1.1167e+07	10.0557
47	1	25341	1.11666e+07	10.0553
48	1	25341	1.11662e+07	10.0549
49	1	25341	1.11658e+07	10.0545
50	1	25341	1.11654e+07	10.0542
# run 0, entropy 10.0542, 25341 rules
