dir	base	stage	s_p	s_l	eta	ADJ	ADV	AUX	NNS	NOUNP	ROOT	VERB	VERBP	VOC	ADJP	ADPP	ADVP	DETDEF	DETP	DETS	INTJP	JJDEF	JJS	NNDEF	NUMP	PARTP	PRONDEF	PRONS	SBAR	SCONJP	SQ	WHADVP	WHNP	WHQP	CCONJP
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.005	0.1	0.005	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.005	0.1	0.005	0.12964	0.07114	0.629217	0.163045	0.717174	0.77768	0.478673	0.763339	0.324407	0.641337	0.662133	0.580215	0.17609	0.728044	0.003638		0.000444	0.001507	0.015389	0.549181	0.372771	0.027327	0.061463							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.005	0.1	0.005	0.080749	0.059636	0.620176	0.139414	0.701974	0.72234	0.160303	0.704507	0.389492	0.645352	0.560441	0.536056	0.189602	0.738049	0.005904		0.003867	0.000817	0.01397	0.553714	0.369623	0.027372	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.005	0.1	0.005	0.068994	0.05291	0.623951	0.137102	0.677838	0.576784	0.175098	0.687107	0.404696	0.6293	0.580179	0.522811	0.202649	0.726899	0.00676		0.003422	6.9e-05	0.013254	0.517244	0.387786	0.027401	0.061466	0.510059	0.010863	0.774891	0.035183	0.537985	0.049007	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.005	0.1	0.005	0.06899	0.052202	0.620295	0.133491	0.670687	0.555156	0.186843	0.689187	0.397142	0.626806	0.574064	0.531608	0.212722	0.731314	0.006433	0.735374	0.003099	1.9e-05	0.012981	0.517492	0.418993	0.027424	0.061466	0.480451	0.010841	0.774082	0.014045	0.532712	0.030309	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.005	0.1	0.01	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.005	0.1	0.01	0.129632	0.071137	0.629217	0.163027	0.717177	0.777681	0.478672	0.76334	0.324408	0.641337	0.66214	0.580215	0.175569	0.728045	0.003675		0.000446	0.001502	0.015355	0.549184	0.372771	0.02678	0.061397							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.005	0.1	0.01	0.080749	0.059635	0.620104	0.139435	0.701999	0.72246	0.159882	0.704536	0.38949	0.645213	0.560375	0.536064	0.189162	0.737676	0.005937		0.003867	0.000817	0.013971	0.553387	0.369688	0.026823	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.005	0.1	0.01	0.068994	0.052908	0.623918	0.137153	0.677889	0.576765	0.174906	0.687097	0.404779	0.629377	0.580133	0.522821	0.202328	0.726206	0.006777		0.003422	6.9e-05	0.013255	0.516589	0.387428	0.026851	0.061466	0.510178	0.015336	0.774867	0.035758	0.537338	0.04973	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.005	0.1	0.01	0.06899	0.052169	0.620279	0.133638	0.670743	0.555068	0.186763	0.689156	0.397184	0.626295	0.573983	0.531229	0.212516	0.730827	0.006434	0.732397	0.003099	1.9e-05	0.012986	0.516876	0.418707	0.026873	0.061466	0.480618	0.015251	0.773599	0.014348	0.532612	0.030878	
