# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	8587 117994 sentences failed to parse	186549	13.9454	0.0265642
1	1	8587 117994 sentences failed to parse	96725.3	7.23069	0.0262608
2	1	8587 117994 sentences failed to parse	96239.9	7.19441	0.0246875
3	1	8587 117994 sentences failed to parse	96039.6	7.17943	0.0245216
4	1	8587 117994 sentences failed to parse	95863.6	7.16627	0.0296674
5	1	8587 117994 sentences failed to parse	95682.6	7.15274	0.0285739
6	1	8587 117994 sentences failed to parse	95492.1	7.13851	0.0301182
7	1	8587 117994 sentences failed to parse	95289.5	7.12335	0.0289615
8	1	8587 117994 sentences failed to parse	95086.9	7.10822	0.0292253
9	1	8587 117994 sentences failed to parse	94917.8	7.09557	0.028659
10	1	8587 117994 sentences failed to parse	94806.4	7.08725	0.0303114
11	1	8587 117994 sentences failed to parse	94745.8	7.08271	0.0279305
12	1	8587 117994 sentences failed to parse	94715.2	7.08042	0.0288977
13	1	8587 117994 sentences failed to parse	94699.3	7.07924	0.026999
14	1	8587 117994 sentences failed to parse	94690.4	7.07857	0.0280319
15	1	8587 117994 sentences failed to parse	94685.1	7.07818	0.0283695
16	1	8587 117994 sentences failed to parse	94681.7	7.07793	0.0270782
17	1	8587 117994 sentences failed to parse	94679.4	7.07775	0.0265289
18	1	8587 117994 sentences failed to parse	94677.6	7.07762	0.0300864
19	1	8587 117994 sentences failed to parse	94676.3	7.07751	0.0296193
20	1	8587 117994 sentences failed to parse	94675.2	7.07744	0.0284472
# run 0, entropy 7.07744, 8587 rules
