# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	8680 96686 sentences failed to parse	1.03872e+06	13.9495	0.096697
1	1	8680 96686 sentences failed to parse	613748	8.24236	0.0770206
2	1	8680 96686 sentences failed to parse	608237	8.16834	0.0664965
3	1	8680 96686 sentences failed to parse	605493	8.13149	0.0645623
4	1	8680 96686 sentences failed to parse	603653	8.10678	0.0693389
5	1	8680 96686 sentences failed to parse	602133	8.08637	0.0675681
6	1	8680 96686 sentences failed to parse	601185	8.07363	0.0786799
7	1	8680 96686 sentences failed to parse	600684	8.0669	0.0729651
8	1	8680 96686 sentences failed to parse	600305	8.06182	0.0776764
9	1	8680 96686 sentences failed to parse	600009	8.05785	0.0735169
10	1	8680 96686 sentences failed to parse	599780	8.05477	0.0744971
11	1	8680 96686 sentences failed to parse	599598	8.05232	0.0717805
12	1	8680 96686 sentences failed to parse	599446	8.05028	0.0747387
13	1	8680 96686 sentences failed to parse	599311	8.04847	0.0770755
14	1	8680 96686 sentences failed to parse	599183	8.04675	0.0654021
15	1	8680 96686 sentences failed to parse	599056	8.04504	0.0661053
16	1	8680 96686 sentences failed to parse	598923	8.04326	0.0651517
17	1	8680 96686 sentences failed to parse	598781	8.04135	0.0650471
18	1	8680 96686 sentences failed to parse	598629	8.03932	0.07792
19	1	8680 96686 sentences failed to parse	598472	8.0372	0.0772087
20	1	8680 96686 sentences failed to parse	598314	8.03508	0.0772276
# run 0, entropy 8.03508, 8680 rules
