# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	8781 50012 sentences failed to parse	3.38896e+06	13.0186	0.250256
1	1	8781 50012 sentences failed to parse	2.13537e+06	8.20296	0.244029
2	1	8781 50012 sentences failed to parse	2.10747e+06	8.09577	0.244797
3	1	8781 50012 sentences failed to parse	2.0987e+06	8.0621	0.246186
4	1	8781 50012 sentences failed to parse	2.09604e+06	8.05187	0.245781
5	1	8781 50012 sentences failed to parse	2.09513e+06	8.04837	0.233752
6	1	8781 50012 sentences failed to parse	2.09476e+06	8.04697	0.233295
7	1	8781 50012 sentences failed to parse	2.09462e+06	8.04641	0.233016
8	1	8781 50012 sentences failed to parse	2.09456e+06	8.0462	0.2337
9	1	8781 50012 sentences failed to parse	2.09454e+06	8.04611	0.231466
10	1	8781 50012 sentences failed to parse	2.09453e+06	8.04607	0.232037
11	1	8781 50012 sentences failed to parse	2.09452e+06	8.04604	0.231807
12	1	8781 50012 sentences failed to parse	2.09452e+06	8.04603	0.231812
13	1	8781 50012 sentences failed to parse	2.09452e+06	8.04603	0.230814
14	1	8781 50012 sentences failed to parse	2.09452e+06	8.04603	0.230982
15	1	8781 50012 sentences failed to parse	2.09452e+06	8.04603	0.230821
# run 0, entropy 8.04603, 8781 rules
