# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9654	6.30492e+06	12.6999	3.39253
1	1	9654	4.07044e+06	8.19904	3.36411
2	1	9654	3.98495e+06	8.02683	3.35979
3	1	9654	3.93979e+06	7.93588	3.36354
4	1	9654	3.91559e+06	7.88712	3.37328
5	1	9654	3.9033e+06	7.86236	3.38164
6	1	9654	3.89723e+06	7.85014	3.3787
7	1	9654	3.894e+06	7.84363	3.36652
8	1	9654	3.89212e+06	7.83984	3.37041
9	1	9654	3.89094e+06	7.83747	3.37565
10	1	9654	3.89012e+06	7.83583	3.3669
11	1	9654	3.88952e+06	7.8346	3.3711
12	1	9654	3.88905e+06	7.83367	3.37872
13	1	9654	3.88869e+06	7.83293	3.38699
14	1	9654	3.88839e+06	7.83234	3.38081
15	1	9654	3.88815e+06	7.83185	3.41659
16	1	9654	3.88794e+06	7.83143	3.37464
17	1	9654	3.88776e+06	7.83106	3.3778
18	1	9654	3.88759e+06	7.83073	3.38439
19	1	9654	3.88744e+06	7.83043	3.38324
20	1	9654	3.8873e+06	7.83014	3.37273
# run 0, entropy 7.83014, 9654 rules
