# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9674	6.35423e+06	12.7993	4.64108
1	1	9674	3.98022e+06	8.01731	4.62314
2	1	9674	3.86159e+06	7.77834	4.589
3	1	9674	3.81198e+06	7.67843	4.63768
4	1	9674	3.79317e+06	7.64054	4.59534
5	1	9674	3.7849e+06	7.62387	4.65577
6	1	9674	3.78071e+06	7.61543	4.59449
7	1	9674	3.77831e+06	7.6106	4.64682
8	1	9674	3.7768e+06	7.60755	4.59733
9	1	9674	3.77577e+06	7.60549	4.61149
10	1	9674	3.77502e+06	7.60398	4.50501
11	1	9674	3.77444e+06	7.60281	4.55069
12	1	9674	3.77397e+06	7.60185	4.52107
13	1	9674	3.77359e+06	7.60109	4.55407
14	1	9674	3.77328e+06	7.60046	4.51955
15	1	9674	3.77301e+06	7.59993	4.55906
16	1	9674	3.77278e+06	7.59947	4.51301
17	1	9674	3.77259e+06	7.59907	4.56364
18	1	9674	3.77241e+06	7.59871	4.52596
19	1	9674	3.77223e+06	7.59835	4.57022
20	1	9674	3.77205e+06	7.598	4.52102
# run 0, entropy 7.598, 9674 rules
