# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9288 25720 sentences failed to parse	5.06495e+06	12.8672	1.78836
1	1	9288 25720 sentences failed to parse	3.34735e+06	8.50374	1.75483
2	1	9288 25720 sentences failed to parse	3.30369e+06	8.39282	1.66628
3	1	9288 25720 sentences failed to parse	3.29277e+06	8.36508	1.83342
4	1	9288 25720 sentences failed to parse	3.28992e+06	8.35783	1.71714
5	1	9288 25720 sentences failed to parse	3.28901e+06	8.35553	1.74634
6	1	9288 25720 sentences failed to parse	3.28864e+06	8.35459	1.66426
7	1	9288 25720 sentences failed to parse	3.28844e+06	8.35409	1.6839
8	1	9288 25720 sentences failed to parse	3.28832e+06	8.35378	1.71388
9	1	9288 25720 sentences failed to parse	3.28823e+06	8.35355	1.79319
10	1	9288 25720 sentences failed to parse	3.28816e+06	8.35338	1.76909
11	1	9288 25720 sentences failed to parse	3.28811e+06	8.35324	1.74111
12	1	9288 25720 sentences failed to parse	3.28807e+06	8.35314	1.6702
13	1	9288 25720 sentences failed to parse	3.28803e+06	8.35305	1.77564
14	1	9288 25720 sentences failed to parse	3.28801e+06	8.35298	1.73398
15	1	9288 25720 sentences failed to parse	3.28799e+06	8.35293	1.64499
16	1	9288 25720 sentences failed to parse	3.28797e+06	8.35288	1.68431
17	1	9288 25720 sentences failed to parse	3.28796e+06	8.35285	1.6907
18	1	9288 25720 sentences failed to parse	3.28794e+06	8.35282	1.75192
19	1	9288 25720 sentences failed to parse	3.28793e+06	8.3528	1.75098
20	1	9288 25720 sentences failed to parse	3.28793e+06	8.35278	1.70771
# run 0, entropy 8.35278, 9288 rules
