# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9950	6.38865e+06	12.8686	6.19944
1	1	9950	4.10305e+06	8.26472	6.93868
2	1	9950	4.04002e+06	8.13776	8.06087
3	1	9950	4.02639e+06	8.11031	8.0822
4	1	9950	4.0234e+06	8.10428	7.30198
5	1	9950	4.02263e+06	8.10273	6.27587
6	1	9950	4.02239e+06	8.10225	6.22722
7	1	9950	4.02231e+06	8.10208	6.11614
8	1	9950	4.02227e+06	8.10201	6.17431
9	1	9950	4.02225e+06	8.10196	6.187
10	1	9950	4.02223e+06	8.10193	6.22656
11	1	9950	4.02222e+06	8.1019	6.15983
12	1	9950	4.02221e+06	8.10188	6.15054
13	1	9950	4.0222e+06	8.10186	6.13405
14	1	9950	4.02219e+06	8.10185	6.1026
15	1	9950	4.02219e+06	8.10184	6.10983
16	1	9950	4.02218e+06	8.10183	6.12304
17	1	9950	4.02218e+06	8.10182	6.10009
18	1	9950	4.02218e+06	8.10182	6.10987
19	1	9950	4.02217e+06	8.10181	6.12553
20	1	9950	4.02217e+06	8.10181	6.11898
# run 0, entropy 8.10181, 9950 rules
