# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 20, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9186 41339 sentences failed to parse	4.12193e+06	13.3327	1.01018
1	1	9186 41339 sentences failed to parse	2.67557e+06	8.65434	1.00617
2	1	9186 41339 sentences failed to parse	2.65073e+06	8.57399	1.0046
3	1	9186 41339 sentences failed to parse	2.6411e+06	8.54285	0.999165
4	1	9186 41339 sentences failed to parse	2.63686e+06	8.52915	1.00937
5	1	9186 41339 sentences failed to parse	2.63449e+06	8.52146	1.01059
6	1	9186 41339 sentences failed to parse	2.63287e+06	8.51622	1.01071
7	1	9186 41339 sentences failed to parse	2.63161e+06	8.51216	1.00624
8	1	9186 41339 sentences failed to parse	2.63055e+06	8.50875	0.994207
9	1	9186 41339 sentences failed to parse	2.62961e+06	8.50569	0.991241
10	1	9186 41339 sentences failed to parse	2.62871e+06	8.50278	1.01045
11	1	9186 41339 sentences failed to parse	2.6278e+06	8.49983	0.985699
12	1	9186 41339 sentences failed to parse	2.62683e+06	8.49671	0.991185
13	1	9186 41339 sentences failed to parse	2.6258e+06	8.49336	1.00193
14	1	9186 41339 sentences failed to parse	2.6247e+06	8.48982	1.04922
15	1	9186 41339 sentences failed to parse	2.62358e+06	8.48619	1.48245
16	1	9186 41339 sentences failed to parse	2.62249e+06	8.48266	1.50607
17	1	9186 41339 sentences failed to parse	2.62149e+06	8.47943	1.50165
18	1	9186 41339 sentences failed to parse	2.62062e+06	8.47662	1.52685
19	1	9186 41339 sentences failed to parse	2.61989e+06	8.47426	1.54034
20	1	9186 41339 sentences failed to parse	2.6193e+06	8.47233	1.52002
# run 0, entropy 8.47233, 9186 rules
