# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 20, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9288 25720 sentences failed to parse	5.06495e+06	12.8672	2.42185
1	1	9288 25720 sentences failed to parse	3.3509e+06	8.51275	2.45578
2	1	9288 25720 sentences failed to parse	3.30222e+06	8.38909	2.47724
3	1	9288 25720 sentences failed to parse	3.28803e+06	8.35305	2.46933
4	1	9288 25720 sentences failed to parse	3.28401e+06	8.34284	2.44481
5	1	9288 25720 sentences failed to parse	3.283e+06	8.34025	2.46487
6	1	9288 25720 sentences failed to parse	3.28268e+06	8.33944	2.41117
7	1	9288 25720 sentences failed to parse	3.28254e+06	8.33908	2.38301
8	1	9288 25720 sentences failed to parse	3.28245e+06	8.33888	2.36976
9	1	9288 25720 sentences failed to parse	3.2824e+06	8.33873	1.8785
10	1	9288 25720 sentences failed to parse	3.28236e+06	8.33862	1.63077
11	1	9288 25720 sentences failed to parse	3.28232e+06	8.33853	1.62658
12	1	9288 25720 sentences failed to parse	3.28229e+06	8.33845	1.64679
13	1	9288 25720 sentences failed to parse	3.28226e+06	8.33838	1.64685
14	1	9288 25720 sentences failed to parse	3.28224e+06	8.33832	1.63931
15	1	9288 25720 sentences failed to parse	3.28222e+06	8.33827	1.90566
16	1	9288 25720 sentences failed to parse	3.2822e+06	8.33822	1.90093
17	1	9288 25720 sentences failed to parse	3.28218e+06	8.33818	1.68195
18	1	9288 25720 sentences failed to parse	3.28217e+06	8.33815	1.63682
19	1	9288 25720 sentences failed to parse	3.28215e+06	8.33811	1.62668
20	1	9288 25720 sentences failed to parse	3.28214e+06	8.33809	1.62279
# run 0, entropy 8.33809, 9288 rules
