# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 20, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9791 1097 sentences failed to parse	6.32151e+06	12.8243	4.67918
1	1	9791 1097 sentences failed to parse	4.08816e+06	8.29359	4.63288
2	1	9791 1097 sentences failed to parse	4.01822e+06	8.15169	4.61821
3	1	9791 1097 sentences failed to parse	3.9973e+06	8.10924	4.66117
4	1	9791 1097 sentences failed to parse	3.99038e+06	8.0952	4.63968
5	1	9791 1097 sentences failed to parse	3.98759e+06	8.08956	4.66166
6	1	9791 1097 sentences failed to parse	3.98623e+06	8.08679	4.60476
7	1	9791 1097 sentences failed to parse	3.98542e+06	8.08514	4.64615
8	1	9791 1097 sentences failed to parse	3.98484e+06	8.08397	4.66079
9	1	9791 1097 sentences failed to parse	3.98436e+06	8.083	4.61157
10	1	9791 1097 sentences failed to parse	3.98394e+06	8.08215	4.63326
11	1	9791 1097 sentences failed to parse	3.98355e+06	8.08135	4.61671
12	1	9791 1097 sentences failed to parse	3.98319e+06	8.08062	4.70867
13	1	9791 1097 sentences failed to parse	3.98286e+06	8.07995	4.64553
14	1	9791 1097 sentences failed to parse	3.98257e+06	8.07936	4.70433
15	1	9791 1097 sentences failed to parse	3.98231e+06	8.07885	5.24343
16	1	9791 1097 sentences failed to parse	3.9821e+06	8.07842	4.67868
17	1	9791 1097 sentences failed to parse	3.98192e+06	8.07805	4.60875
18	1	9791 1097 sentences failed to parse	3.98177e+06	8.07775	4.78521
19	1	9791 1097 sentences failed to parse	3.98165e+06	8.07751	4.66895
20	1	9791 1097 sentences failed to parse	3.98155e+06	8.07731	4.61042
# run 0, entropy 8.07731, 9791 rules
