# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 20, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9950	6.38865e+06	12.8686	6.53259
1	1	9950	4.05362e+06	8.16516	6.45734
2	1	9950	3.98584e+06	8.02863	6.17265
3	1	9950	3.9752e+06	8.00719	6.1925
4	1	9950	3.97394e+06	8.00466	6.20749
5	1	9950	3.974e+06	8.00478	6.15411
6	1	9950	3.97418e+06	8.00514	6.43776
7	1	9950	3.97432e+06	8.00543	6.30709
8	1	9950	3.97443e+06	8.00564	6.72592
9	1	9950	3.9745e+06	8.00578	6.39204
10	1	9950	3.97454e+06	8.00586	6.7519
11	1	9950	3.97456e+06	8.00591	6.86863
12	1	9950	3.97457e+06	8.00592	6.33668
13	1	9950	3.97456e+06	8.0059	6.22429
14	1	9950	3.97454e+06	8.00587	6.3796
15	1	9950	3.97452e+06	8.00582	6.14782
16	1	9950	3.97449e+06	8.00577	6.53652
17	1	9950	3.97446e+06	8.00571	6.17065
18	1	9950	3.97444e+06	8.00566	7.17823
19	1	9950	3.97441e+06	8.0056	7.81515
20	1	9950	3.97439e+06	8.00555	9.8652
# run 0, entropy 8.00555, 9950 rules
