# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9517 23271 sentences failed to parse	5.2147e+06	12.8996	4.15167
1	1	9517 23271 sentences failed to parse	3.40445e+06	8.4216	3.11735
2	1	9517 23271 sentences failed to parse	3.35609e+06	8.30197	3.05122
3	1	9517 23271 sentences failed to parse	3.34752e+06	8.28078	3.03844
4	1	9517 23271 sentences failed to parse	3.34617e+06	8.27742	3.47752
5	1	9517 23271 sentences failed to parse	3.34591e+06	8.27678	3.18969
6	1	9517 23271 sentences failed to parse	3.34576e+06	8.27641	3.0264
7	1	9517 23271 sentences failed to parse	3.34559e+06	8.276	3.02263
8	1	9517 23271 sentences failed to parse	3.34543e+06	8.27559	3.0169
9	1	9517 23271 sentences failed to parse	3.3453e+06	8.27527	3.02147
10	1	9517 23271 sentences failed to parse	3.3452e+06	8.27504	3.00777
11	1	9517 23271 sentences failed to parse	3.34514e+06	8.27489	3.00558
12	1	9517 23271 sentences failed to parse	3.34511e+06	8.27479	3.01605
13	1	9517 23271 sentences failed to parse	3.34508e+06	8.27473	3.0015
14	1	9517 23271 sentences failed to parse	3.34506e+06	8.27469	3.01081
15	1	9517 23271 sentences failed to parse	3.34505e+06	8.27466	3.00878
16	1	9517 23271 sentences failed to parse	3.34505e+06	8.27465	3.0056
17	1	9517 23271 sentences failed to parse	3.34504e+06	8.27463	3.01414
18	1	9517 23271 sentences failed to parse	3.34504e+06	8.27462	3.01352
19	1	9517 23271 sentences failed to parse	3.34503e+06	8.27461	3.00762
20	1	9517 23271 sentences failed to parse	3.34503e+06	8.27461	3.0151
# run 0, entropy 8.27461, 9517 rules
