# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 0, maxlen (-l) = 0, minits (-m) = 0, maxits = (-n) = 20, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 1, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token	iter_min
0	1	9950	6.38865e+06	12.8686	6.22865
1	1	9950	4.10267e+06	8.26396	6.22807
2	1	9950	4.02821e+06	8.11398	6.33847
3	1	9950	4.00769e+06	8.07264	6.27616
4	1	9950	4.00123e+06	8.05962	6.8166
5	1	9950	3.99865e+06	8.05444	6.45249
6	1	9950	3.99739e+06	8.0519	6.39148
7	1	9950	3.99667e+06	8.05043	6.43648
8	1	9950	3.99618e+06	8.04946	6.30085
9	1	9950	3.99581e+06	8.04871	6.74417
10	1	9950	3.9955e+06	8.04809	6.41248
11	1	9950	3.99522e+06	8.04752	6.21603
12	1	9950	3.99494e+06	8.04697	6.32569
13	1	9950	3.99467e+06	8.04642	6.23534
14	1	9950	3.9944e+06	8.04587	6.32474
15	1	9950	3.99413e+06	8.04533	6.55006
16	1	9950	3.99387e+06	8.0448	6.58911
17	1	9950	3.99361e+06	8.04429	6.65683
18	1	9950	3.99338e+06	8.04381	6.7309
19	1	9950	3.99316e+06	8.04337	6.56498
20	1	9950	3.99296e+06	8.04297	6.95262
# run 0, entropy 8.04297, 9950 rules
